"Precinct","Registered","Ballots Cast","Donald J. Trump","Hillary Rodham Clinton","Percent Trump","Percent Clinton","Voter turnout","Democrat minus Republican"
2154,2386,1438,389,989,27.05146036,68.77607789,60.26823135,41.72461753
2156,1261,974,352,587,36.13963039,60.26694045,77.24028549,24.12731006
2158,2347,1511,381,1087,25.21508934,71.93911317,64.38005965,46.72402383
2160,1078,758,299,408,39.44591029,53.82585752,70.31539889,14.37994723
2162,720,498,222,263,44.57831325,52.81124498,69.16666667,8.23293173
2164,2423,1833,795,974,43.37152209,53.13693399,75.65002064,9.7654119
2166,1693,1313,463,814,35.26275704,61.99543031,77.55463674,26.73267327
2168,0,1,0,1,0,100,0,100
2170,2166,1601,536,1011,33.47907558,63.14803248,73.91505078,29.6689569
2172,22,18,8,8,44.44444444,44.44444444,81.81818182,0
2174,854,645,237,385,36.74418605,59.68992248,75.52693208,22.94573643
2180,0,0,0,0,0,0,0,0
2182,1260,788,243,508,30.83756345,64.46700508,62.53968254,33.62944163
2184,2165,1449,427,975,29.46859903,67.28778468,66.92840647,37.81918565
2186,677,389,119,250,30.59125964,64.26735219,57.45937962,33.67609255
2188,1385,1094,599,452,54.75319927,41.31627057,78.98916968,-13.4369287
2190,2006,1587,621,916,39.13043478,57.7189666,79.11266201,18.58853182
2192,1721,1361,432,881,31.74136664,64.73181484,79.08192911,32.9904482
2194,1771,1134,267,806,23.54497354,71.07583774,64.03162055,47.5308642
2196,1717,1298,536,718,41.29429892,55.31587057,75.59697146,14.02157165
2198,27,22,15,7,68.18181818,31.81818182,81.48148148,-36.36363636
2200,241,155,72,80,46.4516129,51.61290323,64.3153527,5.16129032999999
2202,4,5,4,1,80,20,125,-60
2204,1102,666,200,438,30.03003003,65.76576577,60.43557169,35.73573574
2206,944,607,160,423,26.35914333,69.68698517,64.30084746,43.32784184
2208,17,11,3,8,27.27272727,72.72727273,64.70588235,45.45454546
2210,434,257,73,173,28.40466926,67.3151751,59.21658986,38.91050584
2212,0,0,0,0,0,0,0,0
2214,1882,1284,250,991,19.47040498,77.18068536,68.22529224,57.71028038
2216,2620,1781,273,1445,15.32846715,81.13419427,67.97709924,65.80572712
2218,1923,1431,372,1010,25.99580713,70.58001398,74.4149766,44.58420685
3002,1655,1035,287,708,27.7294686,68.4057971,62.53776435,40.6763285
3004,172,95,33,57,34.73684211,60,55.23255814,25.26315789
3006,2188,1526,582,885,38.13892529,57.99475754,69.7440585,19.85583225
3008,0,2,1,1,50,50,0,0
3010,647,406,172,219,42.36453202,53.9408867,62.7511592,11.57635468
3012,1606,1175,538,584,45.78723404,49.70212766,73.16313823,3.91489362
3014,2659,2110,1040,971,49.28909953,46.01895735,79.35314028,-3.27014218
3016,110,74,20,52,27.02702703,70.27027027,67.27272727,43.24324324
3018,26,15,8,7,53.33333333,46.66666667,57.69230769,-6.66666666
3020,2137,1481,575,830,38.82511816,56.04321404,69.30276088,17.21809588
3022,1063,698,210,458,30.08595989,65.61604585,65.66321731,35.53008596
3024,1635,999,377,577,37.73773774,57.75775776,61.10091743,20.02002002
3026,0,0,0,0,0,0,0,0
3028,2,2,0,2,0,100,100,100
3030,1,1,1,0,100,0,100,-100
3032,1251,659,181,447,27.46585736,67.83004552,52.67785771,40.36418816
3034,244,182,81,89,44.50549451,48.9010989,74.59016393,4.39560439
3036,805,586,197,363,33.61774744,61.94539249,72.79503106,28.32764505
